ADD ITEM BAG NEW Nhị vĩ, SL: 1 lý do: Lệnh chat ADMIN, TIME: 18/03/2024 09:54 SA

ADD BẠC KHÓA +20, tổng: 125920453 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +21, tổng: 125920474 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +15, tổng: 125920489 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +17, tổng: 125920506 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +19, tổng: 125920525 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +19, tổng: 125920544 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +17, tổng: 125920561 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +23, tổng: 125915976 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +23, tổng: 125915999 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +20, tổng: 125916019 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +18, tổng: 125916037 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +24, tổng: 125916061 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +25, tổng: 125916086 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +16, tổng: 125916102 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +21, tổng: 125911515 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +23, tổng: 125911538 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +24, tổng: 125911562 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +24, tổng: 125911586 lý do: Nhặt từ Map, TIME: 13/08/2025 22:37 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:37 PM

ADD BẠC KHÓA +16, tổng: 125911602 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125911623 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +19, tổng: 125911642 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +22, tổng: 125907056 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125907074 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125907091 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125907109 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125907130 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125907147 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125907170 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +15, tổng: 125907185 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +15, tổng: 125907200 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125907223 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +25, tổng: 125907248 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +20, tổng: 125907268 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125907291 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 6, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +19, tổng: 125888878 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 6, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125870467 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125870491 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125870508 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +25, tổng: 125870533 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +19, tổng: 125865944 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +19, tổng: 125865963 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125861373 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +15, tổng: 125861388 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +20, tổng: 125861408 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +22, tổng: 125861430 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +19, tổng: 125861449 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125861473 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125861491 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +16, tổng: 125861507 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125861528 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125861549 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +22, tổng: 125861571 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125861595 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125861618 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125861641 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125861662 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125861686 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +25, tổng: 125861711 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125861732 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125861755 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +25, tổng: 125861780 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125861798 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 6, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +15, tổng: 125843381 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +25, tổng: 125843406 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125843423 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125843441 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125843464 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125843488 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +20, tổng: 125843508 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +22, tổng: 125843530 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +15, tổng: 125843545 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125843566 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +25, tổng: 125843591 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +16, tổng: 125843607 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +15, tổng: 125843622 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125843643 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125843661 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125843678 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +22, tổng: 125843700 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125843718 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +19, tổng: 125843737 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +19, tổng: 125843756 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +15, tổng: 125843771 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 6, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125825363 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125825387 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125825410 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125825428 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125825449 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125825472 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +16, tổng: 125825488 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 7, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125807073 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125807094 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125807118 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125807135 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 7, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125788720 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +16, tổng: 125788736 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +22, tổng: 125788758 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125788779 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125788800 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125788821 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +16, tổng: 125788837 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125788861 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +19, tổng: 125788880 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125788903 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125788927 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 8, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125715223 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +15, tổng: 125715238 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 6, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +25, tổng: 125710655 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +25, tổng: 125710680 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125710701 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +19, tổng: 125710720 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +22, tổng: 125710742 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125710759 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +15, tổng: 125710774 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125710797 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +19, tổng: 125710816 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125710840 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +16, tổng: 125710856 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +22, tổng: 125710878 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125710901 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +25, tổng: 125710926 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +19, tổng: 125710945 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125710963 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +19, tổng: 125710982 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +25, tổng: 125711007 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125711028 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125711046 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125711063 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125711080 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125706496 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125706513 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125706530 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125706553 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125706574 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +20, tổng: 125706594 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +19, tổng: 125706613 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125706631 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 6, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125702046 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125702063 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125702084 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125702101 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +20, tổng: 125702121 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +15, tổng: 125702136 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125702154 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125702177 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125702195 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125702213 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +22, tổng: 125702235 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +16, tổng: 125702251 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 7, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +16, tổng: 125683835 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 6, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +25, tổng: 125679252 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +15, tổng: 125679267 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +22, tổng: 125679289 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +20, tổng: 125679309 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125679333 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +23, tổng: 125679356 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +20, tổng: 125679376 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125679393 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +15, tổng: 125679408 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +20, tổng: 125679428 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +20, tổng: 125679448 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +22, tổng: 125679470 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +25, tổng: 125679495 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +24, tổng: 125679519 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +19, tổng: 125679538 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +21, tổng: 125679559 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +18, tổng: 125679577 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +20, tổng: 125679597 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125679614 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 5, SL: 1 lý do: Nhặt từ Map: 103, TIME: 13/08/2025 22:38 PM

ADD ITEM BAG NEW Đá cấp 6, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 22:38 PM

ADD BẠC KHÓA +17, tổng: 125661199 lý do: Nhặt từ Map, TIME: 13/08/2025 22:38 PM

